"ORDER_NUMBER","LINE_ITEM_COUNT","SHIPMENT_LINE_ITEM_COUNT"
"02210301",1,1
"02214897",1,
"02222707",1,
"02225350",1,
"02237169",1,
"11200201",2,
"24652424",1,
"24663661",1,
"24838548",3,2
"202009220822",4,
"202010011245",2,
"202010011256",2,
"02387105",3,
"02403418",1,
"02420361",1,
"02426543",5,
"02427804",1,
"02428688",1,1
"22713864",1,1
"24246062",1,
"24335745",1,1
"24442534",1,
"24449452",2,
"34527579",1,
"35546711",2,1
"35898431",1,
"36478455",2,2
"30319232",1,
"30334934",2,
"30369622",2,1
"30400063",2,
"31027018",1,
"31744042",1,1
"31753798",2,
"29029723",1,
"29091413",1,
"29148585",1,1
"29864694",1,
"26350363",2,2
"26420441",1,
"26423848",1,1
"26428035",1,
"2677519801",2,2
"27066141",1,
"32031655",2,2
"32705126",1,1
"32818675",1,1
"28572566",1,1
"28584223",1,1
"28629225",1,1
"27775780",2,2
"27941000",2,
"28204614",1,1
"02213948",3,3
"02221795",1,
"02222222511320200708048001",1,
"02222222511320200713000005",1,1
"02224983",2,
"02234570",1,
"11230703",2,
"33902699",2,1
"24596603",1,
"24774193",1,
"25511860",1,
"25823707",1,
"202009221051",4,
"02390136",2,
"02391204",4,1
"0239511320200623048003",1,
"02417740",2,
"34043913",3,
"35532704",1,
"35846561",1,
"35847644",1,
"35957961",1,
"36303975",2,1
"36324130",1,
"29087499",2,1
"29303251",1,1
"26771724",1,
"32019020",2,2
"32295155",1,1
"32300432",1,1
"32707964",1,
"32721962",1,
"28438569",1,1
"27422026",1,1
"27837696",1,
"27862154",1,
"27887741",1,
"27916103",1,
"02212991",1,
"02223179",1,
"02224563",1,
"02241525",3,
"99999986",1,
"33812784",2,
"25068101",1,
"25189705",1,
"202009210553",4,
"202009220640",4,
"202009221058",2,
"202009221126",2,1
"02300076",5,
"02387736",1,
"02404372",1,
"02432733",1,
"02455052",1,
"24445240",1,
"34132476",4,
"34470538",1,1
"35103397",2,
"35744106",1,1
"35852565",1,
"35924435",2,1
